logFC,AveExpr,t,P.Value,adj.P.Val,B,Protein_ID,Species,Significant
0.15594227585012277,25.172617705554913,0.5551102703976015,0.5929130646936003,0.9048577602461567,-7.690883773361235,A5A614,ECOLI,FALSE
-0.20745534396018783,27.07625476632148,-1.3960583744626982,0.19756423622862054,0.8667983401596395,-6.8806977234842845,P03023;B8LFD5,ECOLI,FALSE
-0.18286654157416393,28.62032942149345,-1.8125420865525832,0.10474326015176405,0.8667983401596395,-6.309016088751957,P00722;B8LFD6,ECOLI,FALSE
-0.007607510655400773,28.966873928876545,-0.08918533947493079,0.9309698784308977,0.9810526434921756,-7.8551317575395725,B8YM76;P00634,ECOLI,FALSE
0.027993349617091212,29.09539914324989,0.3054455404416688,0.7672652407410587,0.9439277789660041,-7.8078626791032715,P75797;D9IX93,ECOLI,FALSE
-5.690945537880491,30.912607060114276,-6.865253215536847,8.996369111197763e-5,0.007176334437163139,1.0862871980996989,O76070ups,UPS,TRUE
-0.9569482462066716,32.72889589762954,-6.007917341464077,2.3730426222706754e-4,0.01757746570924779,0.03324148626897294,P00167ups,UPS,FALSE
0.008727303278703857,34.50019323767169,0.10967232042255586,0.9151769542582873,0.9792340005292203,-7.852864677051873,P00350,ECOLI,FALSE
-0.06253995509744215,31.60209903519586,-0.6556092026833792,0.5291627195199112,0.8829523425064184,-7.6258780019061705,P00363,ECOLI,FALSE
0.08057893600548738,30.239123030172035,0.8077629434406852,0.44092190821040567,0.8667983401596395,-7.509155057352117,P00370,ECOLI,FALSE
0.11174497002325623,30.7371410735389,1.0844669849762771,0.30752181621955454,0.8667983401596395,-7.2453702251854715,P00393,ECOLI,FALSE
-0.033922254387888984,33.28081868757642,-0.3726072318091031,0.7184263625187026,0.9326125575556151,-7.782828949436614,P00448,ECOLI,FALSE
0.016554244899754877,31.769567568769745,0.19549497455176645,0.8495304571107539,0.9654389961905225,-7.838315921556583,P00452;P00452-2,ECOLI,FALSE
-0.0534424458751559,32.10761504504762,-0.6410888442793841,0.53811449908662,0.8832587047448098,-7.635879804123151,P00490,ECOLI,FALSE
-0.00231057316956651,33.47923770375515,-0.02788928569503351,0.9783846820953304,0.993967030860398,-7.859127755053747,P00509,ECOLI,FALSE
-0.17380394887140227,25.877911519449373,-1.605266071118703,0.1443424361580008,0.8667983401596395,-6.603581185879134,P00547,ECOLI,FALSE
0.10165425400038686,31.144363355261266,0.8116108153753956,0.43882540088264876,0.8667983401596395,-7.505929008457045,P00550,ECOLI,FALSE
-0.015876823860111244,29.729770484370814,-0.18019551695540256,0.8611590179995939,0.9704262827742653,-7.841505097808598,P00561,ECOLI,FALSE
-0.04415382515295718,27.927764602733422,-0.22590216979001784,0.8265363528338937,0.9566409042951913,-7.831214018519512,P00562,ECOLI,FALSE
-0.24555531772922023,32.057042887424025,-1.6121162932495894,0.14284046036405537,0.8667983401596395,-6.594139093380259,P00579,ECOLI,FALSE
-0.010415452847631457,31.75373419353648,-0.14503502129190643,0.888013717272899,0.9730707731105853,-7.847856214199056,P00582,ECOLI,FALSE
-4.1721188394744075,30.02513770014169,-40.84722851667046,3.52392339711585e-11,2.4362057085394247e-8,16.31622163912011,P00709ups,UPS,TRUE
-0.48369402662284955,30.254160033066867,-1.630354220987752,0.1389103722556818,0.8667983401596395,-6.568896042321643,P00803,ECOLI,FALSE
-0.027035679060826823,29.592963490611837,-0.239862748616936,0.8160364194159382,0.9551126037633498,-7.827614097499457,P00805,ECOLI,FALSE
0.031003663542840343,26.70674005710078,0.15877575365399596,0.8774987147910129,0.9711880916409417,-7.8455366884759234,P00811,ECOLI,FALSE
-0.12321039371565945,32.04842015965681,-1.116420288828953,0.2943597533815907,0.8667983401596395,-7.2110192883138815,P00864,ECOLI,FALSE
-0.01951105964581501,28.47926584972014,-0.19999040875221266,0.8461208454424887,0.9648881606094094,-7.837329901997416,P00887,ECOLI,FALSE
0.2641884139692472,24.379461747430618,0.7785758021179621,0.45704449718041606,0.8718113119746619,-7.533194464267068,P00888,ECOLI,FALSE
-0.06873865706485205,24.437141375158404,-0.5205383254994025,0.6157772801578361,0.9066528131627414,-7.710928094951841,P00893,ECOLI,FALSE
-0.18129038099666062,29.109961512762833,-1.3951380048794182,0.1978320288793623,0.8667983401596395,-6.881865018442509,P00895,ECOLI,FALSE
0.013776285357788964,25.60750195704556,0.061462600534127894,0.9523905688457122,0.9896082363657349,-7.857456922063259,P00903,ECOLI,FALSE
-0.12972705140633067,27.976117674136507,-1.219347238998879,0.25498828001476725,0.8667983401596395,-7.095411089511446,P00904,ECOLI,FALSE
-0.09221887627756686,28.497942674154324,-0.5849869258080655,0.573530301409412,0.8971953661888673,-7.672596996061368,P00909,ECOLI,FALSE
1.6942947401101591,34.66913565795318,18.994128885930838,2.4296598405570847e-8,4.1992620910961615e-6,9.943553532613914,P00915ups,UPS,TRUE
1.7153279250365898,34.191235775922124,15.733636387311375,1.1840088019713813e-7,1.5120456298363439e-5,8.26885644417702,P00918ups,UPS,TRUE
0.09443958136580477,28.68530175097567,0.9778769438056167,0.35474852657390243,0.8667983401596395,-7.354358538735317,P00926,ECOLI,FALSE
0.013320653004313954,31.04500927297363,0.14390224999683834,0.8888816340829625,0.9730707731105853,-7.848038119386965,P00934,ECOLI,FALSE
-0.043017010786737586,26.263920346794045,-0.32205687796815524,0.7550734062143638,0.9390974999013786,-7.802121071451119,P00935,ECOLI,FALSE
